"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Suicide Injury","1999","29199","279040238","10.46"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Suicide Injury","2000","29350","282171936","10.4"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Suicide Injury","2001","30622","284968955","10.75"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Suicide Injury","2002","31655","287625193","11.01"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Suicide Injury","2003","31484","290107933","10.85"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Suicide Injury","2004","32439","292805298","11.08"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Suicide Injury","2005","32637","295516599","11.04"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Suicide Injury","2006","33300","298379912","11.16"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Suicide Injury","2007","34598","301231207","11.49"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Suicide Injury","2008","36035","304093966","11.85"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Suicide Injury","2009","36909","306771529","12.03"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Suicide Injury","2010","38364","308747508","12.43"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Suicide Injury","2011","39518","311663358","12.68"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Suicide Injury","2012","40600","313998379","12.93"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Suicide Injury","2013","41149","316204908","13.01"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Suicide Injury","2014","42826","318563456","13.44"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Suicide Injury","2015","44193","320896618","13.77"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Suicide Injury","2016","44965","323127513","13.92"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Suicide Injury","","649843","5435914506","11.95"
